cage_id,date,male,tandem,no_tandem,tandem time,Tandem to wheel,wheel,no_wheel,wheel time
1,6022018,control,0,1,0,0,0,1,0
1,6022018,manipulated,1,0,NA,9.45,1,0,8.2
2,6022018,control,0,1,,0,0,1,0
2,6022018,manipulated,0,1,,0,0,1,0
3,6022018,control,1,0,,4.05,1,0,6.5
3,6022018,manipulated,0,1,,0,0,1,0
4,6022018,control,0,1,,0,0,1,0
4,6022018,manipulated,1,0,9.5,NA,0,1,0
5,6022018,control,1,0,1.05,NA,0,1,0
5,6022018,manipulated,0,1,0,0,0,1,0
6,6022018,control,1,0,18.25,NA,0,1,0
6,6022018,manipulated,0,1,0,0,0,1,0
7,6022018,control,0,1,0,0,0,1,0
7,6022018,manipulated,1,0,2.45,0,0,1,0
8,6022018,control,1,0,2.4,NA,0,1,0
8,6022018,manipulated,0,1,0,0,0,1,0
9,6022018,control,0,1,0,0,0,1,0
9,6022018,manipulated,0,1,0,0,0,1,0
10,6022018,control,0,1,0,0,0,1,0
10,6022018,manipulated,0,1,0,0,0,1,0
11,6022018,control,0,1,0,0,0,1,0
11,6022018,manipulated,0,1,0,0,0,1,0
12,6022018,control,1,0,12.25,NA,0,1,0
12,6022018,manipulated,0,1,0,0,0,1,0
13,6022018,control,0,1,0,0,0,1,0
13,6022018,manipulated,1,0,NA,2.2,1,0,10.3
14,7022018,control,1,0,0.45,NA,0,1,0
14,7022018,manipulated,0,1,0,0,0,1,0
15,7022018,control,0,1,0,0,0,1,0
15,7022018,manipulated,0,1,0,0,0,1,0
16,7022018,control,1,0,NA,2.25,1,0,4.1
16,7022018,manipulated,0,1,0,0,0,1,0
17,7022018,control,1,0,0.45,NA,0,1,0
17,7022018,manipulated,0,1,0,0,0,1,0
18,7022018,control,1,0,0.5,NA,0,1,0
18,7022018,manipulated,1,0,0.35,NA,0,1,0
19,7022018,control,0,1,0,0,0,1,0
19,7022018,manipulated,1,0,NA,13.53,1,0,6.31
20,7022018,control,0,1,0,0,0,1,0
20,7022018,manipulated,1,0,NA,15.16,1,0,6.01
21,7022018,control,0,1,0,0,0,1,0
21,7022018,manipulated,1,0,NA,2.25,1,0,11.25
22,7022018,control,0,1,0,0,0,1,0
22,7022018,manipulated,0,1,0,0,0,1,0
23,7022018,control,0,1,0,0,0,1,0
23,7022018,manipulated,0,1,0,0,0,1,0
24,7022018,control,0,1,0,0,0,1,0
24,7022018,manipulated,0,1,0,0,0,1,0
25,8022018,control,0,1,0,0,0,1,0
25,8022018,manipulated,1,0,0.35,0,0,1,0
26,8022018,control,0,1,0,0,0,1,0
26,8022018,manipulated,1,0,NA,3.35,1,0,4.45
27,8022018,control,0,1,0,0,0,1,0
27,8022018,manipulated,1,0,NA,6.03,1,0,9.2
28,8022018,control,0,1,0,0,0,1,0
28,8022018,manipulated,0,1,0,0,0,1,0
29,8022018,control,1,0,0.55,0,0,1,0
29,8022018,manipulated,0,1,0,0,0,1,0
30,8022018,control,1,0,0.34,0,0,1,0
30,8022018,manipulated,0,1,0,0,0,1,0
31,8022018,control,0,1,0,0,0,1,0
31,8022018,manipulated,0,1,0,0,0,1,0
32,8022018,control,1,0,0.57,0,0,1,0
32,8022018,manipulated,0,1,0,0,0,1,0
33,8022018,control,1,0,NA,17.28,1,0,5.07
33,8022018,manipulated,0,1,0,0,0,1,0
34,8022018,control,0,1,0,0,0,1,0
34,8022018,manipulated,1,0,7.38,0,0,1,0
35,8022018,control,0,1,0,0,0,1,0
35,8022018,manipulated,1,0,NA,11.09,1,0,8.48
36,8022018,control,1,0,0.46,0,0,1,0
36,8022018,manipulated,0,1,0,0,0,1,0
37,8022018,control,0,1,0,0,0,1,0
37,8022018,manipulated,0,1,0,0,0,1,0
38,8022018,control,0,1,0,0,0,1,0
38,8022018,manipulated,1,0,NA,5.06,1,0,13.1
39,8022018,control,1,0,1.07,0,0,1,0
39,8022018,manipulated,0,1,0,0,0,1,0
40,8022018,control,1,0,NA,8.55,1,0,8.07
40,8022018,manipulated,0,1,0,0,0,1,0
41,8022018,control,0,1,0,0,0,1,0
41,8022018,manipulated,1,0,0.52,0,0,1,0
42,8022018,control,0,1,0,0,0,1,0
42,8022018,manipulated,1,0,1.08,0,0,1,0
43,9022018,control,0,1,0,0,0,1,0
43,9022018,manipulated,1,0,15.46,0,0,1,0
44,9022018,control,1,0,4.04,0,0,1,0
44,9022018,manipulated,0,1,0,0,0,1,0
45,9022018,control,1,0,NA,2.09,1,0,6.58
45,9022018,manipulated,0,1,0,0,0,1,0
46,9022018,control,0,1,0,0,0,1,0
46,9022018,manipulated,1,0,NA,4.02,1,0,4.01
47,9022018,control,0,1,0,0,0,1,0
47,9022018,manipulated,1,0,NA,5.18,1,0,4.12
48,9022018,control,0,1,0,0,0,1,0
48,9022018,manipulated,0,1,0,0,0,1,0
49,9022018,control,1,0,NA,3.08,1,0,7.05
49,9022018,manipulated,0,1,0,0,0,1,0
50,9022018,control,0,1,0,0,0,1,0
50,9022018,manipulated,1,0,NA,11.41,1,0,6.41
51,9022018,control,1,0,NA,5.58,1,0,8.45
51,9022018,manipulated,0,1,0,0,0,1,0
52,9022018,control,0,1,0,0,0,1,0
52,9022018,manipulated,1,0,NA,1.54,1,0,3.31
53,9022018,control,0,1,0,0,0,1,0
53,9022018,manipulated,1,0,NA,4.2,1,0,3.14
54,9022018,control,0,1,0,0,0,1,0
54,9022018,manipulated,1,0,NA,24.02,1,0,7.18
55,9022018,control,1,0,4.18,0,0,1,0
55,9022018,manipulated,0,1,0,0,0,1,0
56,9022018,control,1,0,1.06,0,0,1,0
56,9022018,manipulated,0,1,0,0,0,1,0
57,9022018,control,1,0,NA,3.2,1,0,5.13
57,9022018,manipulated,0,1,0,0,0,1,0
58,9022018,control,1,0,9.12,0,0,1,0
58,9022018,manipulated,0,1,0,0,0,1,0
59,9022018,control,1,0,NA,6.34,1,0,5.34
59,9022018,manipulated,0,1,0,0,0,1,0
60,9022018,control,0,1,0,0,0,1,0
60,9022018,manipulated,0,1,0,0,0,1,0
61,9022018,control,1,0,NA,2.18,1,0,3.45
61,9022018,manipulated,0,1,0,0,0,1,0
62,9022018,control,1,0,3.28,0,0,1,0
62,9022018,manipulated,0,1,0,0,0,1,0
63,10022018,control,1,0,8.03,0,0,1,0
63,10022018,manipulated,0,1,0,0,0,1,0
64,10022018,control,0,1,0,0,0,1,0
64,10022018,manipulated,1,0,NA,4.04,1,0,6.21
65,10022018,control,0,1,0,0,0,1,0
65,10022018,manipulated,1,0,6.33,0,0,1,0
66,10022018,control,1,0,NA,11.3,1,0,4.02
66,10022018,manipulated,0,1,0,0,0,1,0
67,10022018,control,1,0,NA,1.5,1,0,3.1
67,10022018,manipulated,0,1,0,0,0,1,0
68,10022018,control,0,1,0,0,0,1,0
68,10022018,manipulated,1,0,1.15,0,0,1,0
69,10022018,control,1,0,NA,3.41,1,0,3.04
69,10022018,manipulated,0,1,0,0,0,1,0
70,10022018,control,1,0,13.3,0,0,1,0
70,10022018,manipulated,0,1,0,0,0,1,0
71,10022018,control,0,1,0,0,0,1,0
71,10022018,manipulated,1,0,1.15,0,0,1,0
72,10022018,control,0,1,0,0,0,1,0
72,10022018,manipulated,1,0,3.26,0,0,1,0