morph,type,id,trial,Passby,Attack
red,conspecific,1,1,2,0
red,conspecific,1,2,1,0
red,conspecific,2,1,1,0
red,conspecific,3,1,6,0
red,conspecific,3,2,2,0
red,conspecific,3,3,3,0
red,conspecific,4,1,6,1
red,conspecific,4,2,3,0
red,conspecific,4,3,5,0
red,conspecific,5,1,10,0
red,conspecific,5,2,5,0
red,conspecific,6,1,2,0
red,conspecific,6,2,2,0
red,conspecific,6,3,4,0
red,conspecific,7,1,2,1
red,conspecific,8,1,5,0
red,conspecific,8,2,7,0
red,conspecific,8,3,10,0
red,conspecific,9,1,5,0
red,conspecific,9,2,7,0
red,conspecific,9,3,3,1
red,conspecific,10,1,5,0
red,conspecific,10,2,0,0
red,conspecific,10,3,2,0
red,conspecific,11,1,4,0
red,conspecific,11,2,1,0
red,conspecific,11,3,2,0
red,conspecific,12,1,0,0
red,conspecific,12,2,0,0
red,conspecific,12,3,1,0
red,conspecific,13,1,1,0
red,conspecific,13,2,1,0
red,conspecific,13,3,1,0
red,conspecific,14,1,4,0
red,conspecific,14,2,7,0
red,conspecific,14,3,11,0
red,conspecific,15,1,8,0
red,conspecific,15,2,4,0
red,conspecific,15,3,9,0
red,conspecific,16,1,1,3
red,conspecific,16,2,11,1
red,conspecific,16,3,5,0
red,conspecific,17,1,6,0
red,conspecific,17,2,1,0
red,conspecific,18,1,3,1
red,conspecific,18,2,6,0
red,conspecific,18,3,5,0
red,conspecific,19,1,12,0
red,conspecific,19,2,16,1
red,conspecific,20,1,11,0
red,conspecific,20,2,15,0
red,conspecific,20,3,16,0
yellow,conspecific,1,1,0,0
yellow,conspecific,1,2,2,1
yellow,conspecific,2,1,0,0
yellow,conspecific,3,1,0,4
yellow,conspecific,3,2,0,0
yellow,conspecific,3,3,0,5
yellow,conspecific,4,1,0,3
yellow,conspecific,4,2,0,1
yellow,conspecific,4,3,1,9
yellow,conspecific,5,1,1,10
yellow,conspecific,5,2,0,8
yellow,conspecific,6,1,2,13
yellow,conspecific,6,2,2,1
yellow,conspecific,6,3,2,3
yellow,conspecific,7,1,2,2
yellow,conspecific,8,1,2,3
yellow,conspecific,8,2,3,2
yellow,conspecific,8,3,2,2
yellow,conspecific,9,1,1,1
yellow,conspecific,9,2,3,1
yellow,conspecific,9,3,0,0
yellow,conspecific,10,1,3,1
yellow,conspecific,10,2,0,2
yellow,conspecific,10,3,0,0
yellow,conspecific,11,1,1,5
yellow,conspecific,11,2,0,1
yellow,conspecific,11,3,1,0
yellow,conspecific,12,1,0,0
yellow,conspecific,12,2,1,0
yellow,conspecific,12,3,0,0
yellow,conspecific,13,1,1,4
yellow,conspecific,13,2,1,3
yellow,conspecific,13,3,1,2
yellow,conspecific,14,1,1,2
yellow,conspecific,14,2,1,1
yellow,conspecific,14,3,3,10
yellow,conspecific,15,1,0,8
yellow,conspecific,15,2,4,4
yellow,conspecific,15,3,4,2
yellow,conspecific,16,1,0,5
yellow,conspecific,16,2,1,0
yellow,conspecific,16,3,1,1
yellow,conspecific,17,1,2,2
yellow,conspecific,17,2,1,2
yellow,conspecific,18,1,1,7
yellow,conspecific,18,2,3,8
yellow,conspecific,18,3,1,10
yellow,conspecific,19,1,2,24
yellow,conspecific,19,2,1,11
yellow,conspecific,20,1,7,5
yellow,conspecific,20,2,13,11
yellow,conspecific,20,3,2,3
red,heterospecific,1,1,4,0
red,heterospecific,1,2,11,1
red,heterospecific,2,1,1,0
red,heterospecific,3,1,0,0
red,heterospecific,3,2,2,0
red,heterospecific,3,3,0,0
red,heterospecific,4,1,4,0
red,heterospecific,4,2,5,0
red,heterospecific,4,3,3,0
red,heterospecific,5,1,0,0
red,heterospecific,5,2,1,0
red,heterospecific,6,1,0,0
red,heterospecific,6,2,1,0
red,heterospecific,6,3,0,1
red,heterospecific,7,1,1,0
red,heterospecific,8,1,4,0
red,heterospecific,8,2,7,0
red,heterospecific,8,3,3,1
red,heterospecific,9,1,2,0
red,heterospecific,9,2,4,0
red,heterospecific,9,3,1,0
red,heterospecific,10,1,1,0
red,heterospecific,10,2,1,0
red,heterospecific,10,3,0,0
red,heterospecific,11,1,1,0
red,heterospecific,11,2,4,0
red,heterospecific,11,3,3,0
red,heterospecific,12,1,2,0
red,heterospecific,12,2,2,0
red,heterospecific,12,3,0,0
red,heterospecific,13,1,0,0
red,heterospecific,13,2,0,0
red,heterospecific,13,3,1,0
red,heterospecific,14,1,5,0
red,heterospecific,14,2,6,1
red,heterospecific,14,3,4,0
red,heterospecific,15,1,0,0
red,heterospecific,15,2,0,0
red,heterospecific,15,3,1,0
red,heterospecific,16,1,0,0
red,heterospecific,16,2,0,0
red,heterospecific,16,3,2,0
red,heterospecific,17,1,2,0
red,heterospecific,17,2,8,0
red,heterospecific,18,1,0,0
red,heterospecific,18,2,0,0
red,heterospecific,18,3,1,0
red,heterospecific,19,1,1,0
red,heterospecific,19,2,1,0
red,heterospecific,20,1,1,0
red,heterospecific,20,2,1,0
red,heterospecific,20,3,0,0
yellow,heterospecific,1,1,0,10
yellow,heterospecific,1,2,5,6
yellow,heterospecific,2,1,1,0
yellow,heterospecific,3,1,0,0
yellow,heterospecific,3,2,2,0
yellow,heterospecific,3,3,0,0
yellow,heterospecific,4,1,1,2
yellow,heterospecific,4,2,5,0
yellow,heterospecific,4,3,1,0
yellow,heterospecific,5,1,0,0
yellow,heterospecific,5,2,2,0
yellow,heterospecific,6,1,0,0
yellow,heterospecific,6,2,1,1
yellow,heterospecific,6,3,0,2
yellow,heterospecific,7,1,0,2
yellow,heterospecific,8,1,1,2
yellow,heterospecific,8,2,2,0
yellow,heterospecific,8,3,0,0
yellow,heterospecific,9,1,0,0
yellow,heterospecific,9,2,3,0
yellow,heterospecific,9,3,0,0
yellow,heterospecific,10,1,1,0
yellow,heterospecific,10,2,2,0
yellow,heterospecific,10,3,3,4
yellow,heterospecific,11,1,2,1
yellow,heterospecific,11,2,3,0
yellow,heterospecific,11,3,1,0
yellow,heterospecific,12,1,1,1
yellow,heterospecific,12,2,4,0
yellow,heterospecific,12,3,0,0
yellow,heterospecific,13,1,0,1
yellow,heterospecific,13,2,0,0
yellow,heterospecific,13,3,0,1
yellow,heterospecific,14,1,0,1
yellow,heterospecific,14,2,0,2
yellow,heterospecific,14,3,2,4
yellow,heterospecific,15,1,0,0
yellow,heterospecific,15,2,2,0
yellow,heterospecific,15,3,0,0
yellow,heterospecific,16,1,0,0
yellow,heterospecific,16,2,0,0
yellow,heterospecific,16,3,1,0
yellow,heterospecific,17,1,1,0
yellow,heterospecific,17,2,2,0
yellow,heterospecific,18,1,2,0
yellow,heterospecific,18,2,1,0
yellow,heterospecific,18,3,2,0
yellow,heterospecific,19,1,4,0
yellow,heterospecific,19,2,1,0
yellow,heterospecific,20,1,1,2
yellow,heterospecific,20,2,2,0
yellow,heterospecific,20,3,0,0